Ribs^Lorde
Mad World^Timmy Trumpet x Gabry Ponte
Graveyard^Axwell
Scary Monsters and Nice Sprites (Original Mix)^Skrillex
Lighter Than Air (SaberZ Extended Remix)^Feenixpawl
Faded (Tiesto's Northern Lights remix)^Alan Walker
Faded (Tungevaag & Raaban remix)^Alan Walker
Destination Calabria feat. Crystal Waters (Radio Edit)^Alex Gaudino
Vitality (Original Mix)^Aneesh Chengappa
Into You (3LAU remix)^Ariana Grande
My My My^Armand van Helden
Ping Pong (Original Mix)^Armin van Buuren
Magenta (Original Mix)^Arno Cost & Julien Arias
Levels (original version)^Avicii
Silhouettes (original mix) (feat. Salem Al Fakir)^Avicii; Salem Al Fakir
Wake Me Up^Avicii
Waiting For Love (Sam Feldt Remix)^Avicii
Waiting for Love (extended mix)^Avicii
Wake Me Up (original extended mix)^Avicii
 Dancing Alone^Axwell & Ingrosso 
Giving You Up^Ben Nicky Sarah de Warren
Satisfaction (Original Mix)^Benny Benassi The Biz
Single Ladies (Put A Ring On It)^Beyoncé
Rock That Body^Black Eyed Peas
How You Love Me (Arston Remix)^3LAU
How You Love Me (Original Mix)^3LAU
Toxic^Britney Spears
...Baby One More Time (Davidson Ospina club mix)^Britney Spears
...Baby One More Time^Britney Spears
Burnin^Calvin Harris with R3HAB
Summer^Calvin Harris
Under Control (feat. Hurts)^Calvin Harris with Alesso; Hurts
Cut to the Feeling^Carly Rae Jepsen
Everytime We Touch^Cascada
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) (Cedric Gervais Remix / Radio Edit)^Cedric Gervais Lana Del Rey
1999 (feat. Troye Sivan)^Charli XCX; Troye Sivan
Vroom Vroom^Charli XCX
Ain't No Other Man (Original Mix)^Christina Aguilera
Paradise (Tiësto remix)^Coldplay
Trumpsta feat. Treyy G (Djuro Remix)^Treyy G
I Don't Care (Original Mix)^RAAS
Angels & Demons (Darren Styles Edit)^D-Block & S-te-Fan, Darren Styles
Meet Me in Paris (Extended Mix)^Mad Mark
Cha Cha Slide (radio edit)^DJ Casper
Bird Machine^DJ Snake & Alesia
You Know You Like It^AlunaGeorge
Turn Down For What^DJ Snake & Lil' Jon
X Gon' Give It to Ya^DMX
Saxamaphone (Night Mix)^Dave Winnel
Kill Me Slow (Extended)^MORTEN
Dreams^David Guetta
Glasgow^David Guetta
Metro Music^David Guetta
Paris^David Guetta
The Alphabeat^David Guetta
Toy Story^David Guetta
Where Them Girls At^David Guetta
Memories (feat. Kid Cudi)^David Guetta; Kid Cudi
Bring It Back^Max Styler
Five Hours^Deorro
Payback^Dimitri Vangelis & Wyman X Steve Angello
Stampede (Original Mix)^Dimitri Vegas & Like Mike vs DVBBS & Borgeous
City of Dreams (feat. Ruben Haze)^Dirty South & Alesso; Ruben Haze
When A Fire Starts To Burn (Original Mix)^Disclosure
AnyTime (Extended Mix)^Don Diablo
God's Plan^Drake
The Motto (feat. Lil Wayne)^Drake; Lil Wayne
New Rules (KREAM Remix)^Dua Lipa
Heaven (feat. Veronica)^Riggi & Piros
Without Me^Eminem
The Real Slim Shady^Eminem
Changed the Way You Kiss Me (Radio Edit)^Example
Centuries^Fall Out Boy
Dance, Dance^Fall Out Boy
Put Your Hands Up For Detroit (Original mix)^Fedde Le Grand
Put Your Hands Up for Detroit (dub mix)^Fedde Le Grand
Kalinka (Radio Edit)^Finger & Kadel
Losing It (Extended)^Fisher
Remember the Name (feat. Styles of Beyond)^Styles of Beyond
No Money (extended mix)^Galantis
Runaway (U & I)^Galantis
Happy Bounce (Original Mix)^Lixtz
L'amour Toujours (Radio Version)^Gigi D'Agostino
Apollo (original mix) (feat. Amba Shepherd)^Hardwell; Amba Shepherd
Spaceman^Hardwell
Let Me Think About It (radio edit)^Ida Corr vs. Fedde Le Grand
Goodbye^Goodboys
Crazy Sexy Wild (Original Mix)^Inna
Tomorowland (Original mix)^Ivan Craft
In My Mind (Axwell mix) (feat. Georgi Kay)^Ivan Gough & Feenixpawl; Georgi Kay
Replay^Iyaz
Work Out^J. Cole
P.Y.T. (Pretty Young Thing)^John Gibbons
Crushin' It (Original Mix)^Jono Toscano
D.A.N.C.E (Original Mix)^Justice
SexyBack (feat. Timbaland)^Justin Timberlake; Timbaland
Chained to the Rhythm (Oliver Heldens remix)^Katy Perry
HUMBLE.^Kendrick Lamar
Day 'n' Nite (Crookers remix)^Kid Cudi
Day 'n' Nite (Crookers remix)^Kid Cudi
Hideaway^Kiesza
Far Away (Radio Edit)^Klaas Featuring Jelle Van Dael
Celebration^Kool & The Gang
Heart Monitor Riddem^Kurupt FM
Party Rock Anthem (feat. Lauren Bennett & GoonRock)^LMFAO; Lauren Bennett & GoonRock
Sexy and I Know It^LMFAO
Remedy^Little Boots
Happy Bounce (Original Mix)^Lixtz
Gummy (feat. brando) (Cheyenne Giles Remix)^Loud Luxury; Brando
Monster (Robin Schulz Remix)^Lum!x & Gabry Ponte
Midnight City (Eric Prydz Private Remix)^M83
Rude (Zedd remix)^MAGIC!
Big Girl (You Are Beautiful)^MIKA
Primadonna^Marina and the Diamonds
Lighter Than Air (SaberZ Extended Remix)^Feenixpawl
Lions in the Wild^Martin Garrix & Third Party
Animals^Martin Garrix
Scared To Be Lonely (DubVision Extended Remix)^Martin Garrix
Runaway^Mike Perry
The Pressure (Alesso remix)^Nadia Ali, Starkillers & Alex Kenji
Rapture (Avicii New Generation radio edit)^Nadia Ali
Rapture (Avicii New Generation Extended Mix)^Nadia Ali
Maneater^Nelly Furtado
Faded^Skazi
I Could Be The One^Avicii
Legacy (Original Mix)^Nicky Romero vs. Krewella
Feeling Good (Bassnectar Remix)^Bassnectar
Million Voices (Radio Edit)^Otto Knows
Hey Ya!^OutKast
Flashlight (Original Mix)^Deorro
Flashlight^Deorro
Karate (Original Mix)^KSHMR
Karate^KSHMR
Sweetest Addiction (feat. We Ghosts)^Rich Edwards; We Ghosts
Pon de Replay (Album Version)^Rihanna
Bleed (Original Mix)^Timmy Trumpet
Wasting Moonlight (Original Mix)^SICK INDIVIDUALS
All I Got^Said The Sky;Kwési
Gold skies^Sander Van Doorn, Martin Garrix & DVBBS ft. Aleesia
The World^Sander van doorn, Lucas & Steve
Nessaja^Scooter
Oh Baby (Original Mix)^Seizo
Rush Over Me (feat. HALIENE)^Seven Lions, Illenium & Said the Sky; HALIENE
We Are Family^Sister Sledge
Crushin' It (Original Mix)^Jono Toscano
Collide (Original Mix)^Splitbreed Hellberg Deutgen
5, 6, 7, 8^Steps
Edge of Seventeen^Stevie Nicks
One (Your Name) (radio edit) (feat. Pharrell)^Swedish House Mafia; Pharrell
Greyhound^Swedish House Mafia
Don't You Worry Child (feat. John Martin)^Swedish House Mafia; John Martin
Every Teardrop Is a Waterfall^Coldplay vs. Swedish House Mafia
Ode to Oi^TJR
Shake It Off^Taylor Swift
Love Shack^The B-52's
I Gotta Feeling^The Black Eyed Peas
Call You Mine^The Chainsmokers, Bebe Rexha
Something Just Like This^The Chainsmokers & Coldplay
Takeaway (Original Mix)^The Chainsmokers Illenium Lennon Stella
Closer^Halsey
New York City (Dash Berlin Remix - Extended)^The Chainsmokers
Roses (Zaxx remix) (feat. ROZES)^The Chainsmokers; ROZES
Mr Brightside^The Killers
In The Club^Thomas Newson
Jackie Chan (feat. Preme & Post Malone)^Tiësto & Dzeko; Preme & Post Malone
Ritual^Rita Ora
Secrets (Riggi & Piros Remix) (feat. Vassy)^Tiësto & KSHMR; Vassy
Ritual (Benny Benassi & BB Team remix)^Tiësto, Jonas Blue, Rita Ora, Benny Benassi & BB Team
Maximal Crazy^Tiësto
Grapevine (Tujamo Extended Remix)^Tiesto
Seek Bromance (Avicii vocal edit)^Tim Berg
Dumb (feat. Charlott Boss)^Timmy Trumpet; Charlott Boss
Oracle (extended mix)^Timmy Trumpet
Shingaling^Tom Swoon
Drop That Low (When I Dip) (extended mix)^Tujamo
Beast (all as One) (Original Mix)^Ummet Ozcan Brennan Heart Dimitri Vegas & Like Mike
Yeah! (feat. Lil' Jon & Ludacris)^Usher; Lil' Jon & Ludacris
I Was Made^Le Pedre
A Little Party Never Killed Nobody (All We Got)^Fergie + Q Tip + GoonRock
Nevada (Original Mix)^Vicetone Cozi Zuehlsdorff
United We Dance (Radio Edit)^Vicetone
Ah Yeah (TJR Edit)^Will Sparks
Ah Yeah So What (feat. Wiley & Elen Levon)^Will Sparks; Wiley & Elen Levon
Illmerica (Original Mix)^Wolfgang Gartner
SOS (Laidback Luke Tribute remix / radio edit) (feat. Aloe Blacc)^Avicii; Aloe Blacc
Coco's Miracle^Fedde Le Grand and Dannic vs. CoCo Star
Kiara (extended mix)^Ørjan Nilsen
Must Be The Love (Dannic Remix)^ARTY   
Teenage Crime^Adrian Lux
Crash 2.0 (Adventure Club vs. DallasK)^Adventure Club
Take Over Control^Afrojack 
Release Me^Agnes
Smack That^Akon 
Lily^Alan Walker  
All Falls Down (feat. Juliander) (Mark Villa Remix)^Alan Walker   
Clash^Alesso
No More (Bottai Edit)^Alex Gaudino, Brenda Mullen
All I Want^Alok  
Coco Jamboo (Calippo Remix Edit)^Angelika Vee
Blah Blah Blah^Armin van Buuren
Que Pasa (Extended Mix)^Armin van Buuren, D'Angello & Francis
Sweet But Psycho (Morgan Page Remix)^Ava Max
Leave Me Again^BYOR
Dum Dum^Baauer
Baby^Bakermat
Dream on the Dancefloor^Basshunter
Ready^Bassjackers 
Derp (Original Mix)^Bassjackers 
Wave Your Hands (Original Mix) ^Bassjackers & Thomas Newson
Shut Your Eyes (Extended Mix)^Basto
Rattle Original Mix^Bingo Players
Switch^BlasterJaxx 
Koala (Scotty Lee Remix)^BlasterJaxx 
The Silmarillia^BlasterJaxx
Spread Love (Paddington) [feat. DVNO] (Original Mix)^Boston Bun, DVNO
Girls^Brohug
Sweet Little Lies^Bülow
Werk (Extended Mix)^CID
C.U.B.A^Calvin Harris
Feel So Close (Radio Edit)^Calvin Harris
Cola (Robin Schulz Remix)^CamelPhat 
Fiesta (Michael Mind Project Radio Edit)^Carlprit
Hipsta (Original Mix)^Chardy, Timmy Trumpet
Fulfill^Charmes
Look At Me Now (feat. Lil' Wayne & Busta Rhymes)^Chris Brown  
Mama (feat. Ellie Goulding) (Tiësto’s Big Room Remix)^Clean Bandit 
Solo (M-22 remix) (feat. Demi Lovato)^Clean Bandit; Demi Lovato
Symphony (Dash Berlin remix) (feat. Zara Larsson)^Clean Bandit; Zara Larsson
Symphony (feat. Zara Larsson)^Clean Bandit/Zara Larsson
Real Mob (Original Mix)^Corrupt (UK)
2 up in the Morning (Original Mix)^Croatia Squad, Me & My Toothbrush
Sky Is the Limit (DJ Antoine vs. Mad Mark)^DJ Antoine & Mad Mark
