Ribs~Lorde~Lorde~Pure Heroine~2013~4
Mad World~Timmy Trumpet x Gabry Ponte~Timmy Trumpet~Mad World~2020~12/18
Graveyard~Axwell~Axwell~Graveyard (Axwell Remix)~2019~1/1
Scary Monsters and Nice Sprites (Original Mix)~Skrillex~~Scary Monsters and Nice Sprites EP~2010-12-21~2
Faded (Tiesto's Northern Lights remix)~Alan Walker~Alan Walker~Faded (Remixes) EP~2016~5/6
Faded (Tungevaag & Raaban remix)~Alan Walker~Alan Walker~Faded (Remixes) EP~2016~3/6
Destination Calabria feat. Crystal Waters (Radio Edit)~Alex Gaudino~~Destination Calabria (feat. Crystal Waters)~2007~1
Vitality (Original Mix)~Aneesh Chengappa~Aneesh Chengappa~Vitality~2015~
Into You (3LAU remix)~Ariana Grande~Ariana Grande~Into You (3LAU remix) (single)~2016~1/1
My My My~Armand van Helden~Armand van Helden~Nympho~2007-07-02~11
Ping Pong (Original Mix)~Armin van Buuren~Armin van Buuren~Ping Pong~2014~
Magenta (Original Mix)~Arno Cost & Julien Arias~Arno Cost & Julien Arias~Magenta~2007~1/2
Levels (original version)~Avicii~Avicii~Levels~2011~2
Silhouettes (original mix) (feat. Salem Al Fakir)~Avicii; Salem Al Fakir~Avicii~Silhouettes (single)~2012~2/2
Wake Me Up~Avicii~Avicii~True~2014-01-22~1/15
Waiting For Love (Sam Feldt Remix)~Avicii~Avicii~Waiting For Love (Remixes)~2015-07-10~2/6
Waiting for Love (extended mix)~Avicii~Avicii~Waiting for Love (single)~2015~1/1
Wake Me Up (original extended mix)~Avicii~Avicii~Wake Me Up (remixes) (single)~2013-09-10~2/3
 Dancing Alone~Axwell & Ingrosso ~Axwell & Ingrosso~Dancing Alone~2018-06-29~89/1
Giving You Up~Ben Nicky Sarah de Warren~Ben Nicky & Sarah de Warren~Giving You Up~2020~1
Satisfaction (Original Mix)~Benny Benassi The Biz~~Satisfaction~2010~1
Single Ladies (Put A Ring On It)~Beyoncé~Beyoncé~I Am... Sasha Fierce~2008~1
Rock That Body~Black Eyed Peas~~Rock That Body~2010~
How You Love Me (Arston Remix)~3LAU~~How You Love Me~2014~
How You Love Me (Original Mix)~3LAU~~How You Love Me~2014~
Toxic~Britney Spears~Britney Spears~In The Zone~2003~6
...Baby One More Time (Davidson Ospina club mix)~Britney Spears~Britney Spears~...Baby One More Time~1999~4/6
...Baby One More Time~Britney Spears~Britney Spears~...Baby One More Time~1999~1/11
Burnin~Calvin Harris with R3HAB~Calvin Harris~Motion~2014~14/15
Summer~Calvin Harris~Calvin Harris~Motion~2014~8/15
Under Control (feat. Hurts)~Calvin Harris with Alesso; Hurts~Calvin Harris~Motion~2014~2/15
Cut to the Feeling~Carly Rae Jepsen~Carly Rae Jepsen~Cut to the Feeling (single)~2017~1/1
Everytime We Touch~Cascada~Cascada~Everytime We Touch~2006~1/14
