"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4xZax8srPgsXV2mpMerqEk","Castles In The Sky","spotify:artist:0y42IQBDFigO5mmEd1bGQG","i_o","spotify:album:3TolDOsMadcVP94ucEJEqU","Castles In The Sky","spotify:artist:0y42IQBDFigO5mmEd1bGQG","i_o","2020-11-20","https://i.scdn.co/image/ab67616d0000b27399df7feed122873a7214f13b","1","1","223280","https://p.scdn.co/mp3-preview/3437f388811a41b187e1c8c87de298e27f30d7c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:b1zguy","2021-04-17T03:08:02Z","dark clubbing,edm,electro house","0.68","0.95","8","-4.595","1","0.182","0.00203","0.538","0.552","0.14","134.982","4","","Armada Music","C 2020 Armada Music B.V., P 2020 Armada Music B.V."
"spotify:track:3bBHdOSDzixQESOvIZ8zte","Lighter Than Air - SaberZ Remix","spotify:artist:2kd1zg9ZyGG6WjZO2dAsFd, spotify:artist:5FvlJcXnFIm72pgQtW3Dct, spotify:artist:249X7nXjC7z2dC9y6jFOli, spotify:artist:7wVdHjM4odGF5lGsqVSHJT","MaRLo, Feenixpawl, Mila Josef, SaberZ","spotify:album:4HIIJhB9QaxqEoXIVL9FlC","Lighter Than Air (SaberZ Remix)","spotify:artist:2kd1zg9ZyGG6WjZO2dAsFd, spotify:artist:5FvlJcXnFIm72pgQtW3Dct","MaRLo, Feenixpawl","2020-01-17","https://i.scdn.co/image/ab67616d0000b273959d32abc6dca60fa67dafc5","1","1","201250","https://p.scdn.co/mp3-preview/a736a843d62432d93503556e83a99aab941215ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:b1zguy","2021-04-17T07:45:18Z","australian dance,edm,pop dance,progressive house,progressive trance,trance,uplifting trance,australian dance,edm,pop dance,pop edm,progressive electro house,belgian edm,big room,electro house,sky room","0.345","0.839","0","-3.699","1","0.101","0.0108","0.0000752","0.908","0.206","128.02","4","","Armind","C 2020 Armada Music B.V., P 2020 Armada Music B.V."
"spotify:track:54yAPOmZd91V4SA4t7bm3t","Let Me Think About It - Ida Corr Vs Fedde Le Grand / Radio Edit","spotify:artist:30ut8L4gmEz4vNr1zNhpbh, spotify:artist:7dc6hUwyuIhrZdh80eaCEE","Ida Corr, Fedde Le Grand","spotify:album:6YpXJVPAg7Me8uY8fn8LGd","Let Me Think About It","spotify:artist:30ut8L4gmEz4vNr1zNhpbh, spotify:artist:7dc6hUwyuIhrZdh80eaCEE","Ida Corr, Fedde Le Grand","2009-01-01","https://i.scdn.co/image/ab67616d0000b2732c51be69f2d70677d20d3241","1","1","154373","https://p.scdn.co/mp3-preview/c919b3afc16654d2a2702e65b4b43c65939efb60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:b1zguy","2021-04-17T07:52:41Z","scandipop,dance pop,disco house,dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house,tropical house","0.785","0.728","0","-3.433","0","0.0463","0.000607","0.0928","0.128","0.821","129.035","4","","Universal Music Australia Pty. Ltd.","C © 2009 Ministry Of Sound Australia Pty Ltd, P ℗ 2009 Ministry Of Sound Australia Pty Ltd"
"spotify:track:2id8E4WvczfKHB4LHI7Np3","Edge of Seventeen","spotify:artist:7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","spotify:album:7q0dYnAjmqZBJLhMBre8aL","Crystal Visions...The Very Best of Stevie Nicks","spotify:artist:7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","2007-03-27","https://i.scdn.co/image/ab67616d0000b2732614c295a38ee782d093aa09","1","1","329680","https://p.scdn.co/mp3-preview/e849a11dce294f701daa39b3a1e4334005f99b11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:b1zguy","2021-04-17T07:53:37Z","album rock,heartland rock,mellow gold,rock","0.59","0.828","0","-6.28","1","0.0439","0.277","0.00000557","0.0868","0.636","111.353","4","","Reprise","C © 2007 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S., P ℗ 2007 Reprise Records for the U.S. and WEA International Inc. for the world outside the U.S."
"spotify:track:1zzxoZVylsna2BQB65Ppcb","X Gon' Give It To Ya","spotify:artist:1HwM5zlC5qNWhJtM00yXzG","DMX","spotify:album:2ge7Lk4Sl7hHs4AYxqDbf1","The Definition of X: Pick Of The Litter","spotify:artist:1HwM5zlC5qNWhJtM00yXzG","DMX","2007-06-12","https://i.scdn.co/image/ab67616d0000b27301a6faf91e207748e8e32e0a","1","11","217586","https://p.scdn.co/mp3-preview/3cb84fa41d1adfa95636ee6236c604f5ed4bc335?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:b1zguy","2021-04-17T07:56:12Z","east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap","0.761","0.899","10","-3.09","0","0.183","0.0135","0","0.0719","0.673","95.027","4","","RAL","C © 2007 UMG Recordings, Inc., P A Def Jam Recordings Release; This Compilation ℗ 2007 UMG Recordings, Inc."
"spotify:track:2wAJTrFhCnQyNSD3oUgTZO","Work Out","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0fhmJYVhW0e4i33pCLPA5i","Cole World: The Sideline Story","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2011-09-27","https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc","1","16","235320","https://p.scdn.co/mp3-preview/76f9c3ad76f65c5c6bc61d4f961228640710cfb1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","spotify:user:b1zguy","2021-04-17T07:56:38Z","conscious hip hop,hip hop,north carolina hip hop,rap","0.831","0.427","2","-6.903","1","0.106","0.0531","0","0.307","0.216","93.004","4","","Roc Nation LLC","C © 2011 Roc Nation, LLC., P ℗ 2011 Roc Nation, LLC."
"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","8","177000","https://p.scdn.co/mp3-preview/dca63100f96e4000e719433d36131a9b5a5883c9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","spotify:user:b1zguy","2021-04-17T08:14:56Z","conscious hip hop,hip hop,rap,west coast rap","0.908","0.621","1","-6.638","0","0.102","0.000282","0.0000539","0.0958","0.421","150.011","4","","Aftermath","C © 2017 Aftermath/Interscope (Top Dawg Entertainment), P ℗ 2017 Aftermath/Interscope (Top Dawg Entertainment)"
"spotify:track:4crczEC1PpoD8TsDsmoWNI","Goodbye","spotify:artist:5rGrDvrLOV2VV8SCFVGWlj, spotify:artist:2nm38smINjms1LtczR0Cei","Imanbek, Goodboys","spotify:album:2wUKHXscUlHKW0tEVVYqRs","Goodbye","spotify:artist:5rGrDvrLOV2VV8SCFVGWlj, spotify:artist:2nm38smINjms1LtczR0Cei","Imanbek, Goodboys","2020-12-18","https://i.scdn.co/image/ab67616d0000b273b36508daf672f831385d7924","1","1","144000","https://p.scdn.co/mp3-preview/35bbd0fb399d6324e94f0699325e83ae510cafe0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:b1zguy","2021-04-17T08:17:35Z","dance pop,edm,electro house,pop dance,slap house,tropical house,uk dance","0.741","0.931","10","-3.447","0","0.0563","0.0225","0.000102","0.191","0.517","125.011","4","","Positiva","C © 2020 Universal Music Operations Limited, P A Positiva / EMI / Effective Records release; ℗ 2020 Universal Music Operations Limited"
"spotify:track:1geovaCdfs5fSa4NNgFPVe","Bella Ciao","spotify:artist:6BrvowZBreEkXzJQMpL174, spotify:artist:0RMeG9M8QFzss9bAbq99KA","Hardwell, Maddix","spotify:album:2XPlNDlpuJyEBRnZnbZcut","Bella Ciao","spotify:artist:6BrvowZBreEkXzJQMpL174, spotify:artist:0RMeG9M8QFzss9bAbq99KA","Hardwell, Maddix","2018-08-17","https://i.scdn.co/image/ab67616d0000b2730b321999b893f9595971f667","1","1","203769","https://p.scdn.co/mp3-preview/b071542836bc1fe6774de39770cb5ad1f8615cde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:b1zguy","2021-04-17T08:17:57Z","big room,dance pop,dutch house,edm,electro house,pop dance,progressive electro house,progressive house,tropical house,big room,edm,electro house,pop dance,progressive electro house","0.616","0.892","4","-4.688","0","0.0462","0.00214","0.000186","0.227","0.235","129.991","4","","Revealed Recordings","C 2018 Revealed Music B.V., P 2018 Revealed Music B.V."
"spotify:track:3831W9bQFWQyiH2F9Y2G0U","Like That","spotify:artist:24Sxfn1uAoJmuR9N72drt9","Mike Candys","spotify:album:2KruLoLod168ShxVb4zqbt","Like That","spotify:artist:24Sxfn1uAoJmuR9N72drt9","Mike Candys","2019-05-10","https://i.scdn.co/image/ab67616d0000b2737c454800512851811de852e5","1","1","146666","https://p.scdn.co/mp3-preview/da00a446798469240f65f70edac5098a9c11055c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:b1zguy","2021-04-18T11:02:00Z","dance pop,edm,pop dance,pop house","0.825","0.946","9","-4.585","1","0.0444","0.0196","0.472","0.134","0.322","126.016","4","","S2 Records","C 2019 Sirup Music GmbH, P 2019 Sirup Music GmbH (S2 Records)"
